Product,Value($),Value(abbreviated),Year,Country
Optical- photo- technical- medical apparatus,21230.00,$21.23K,2016,China
Furniture- lighting signs- prefabricated buildings,11240.00,$11.24K,2016,China
Glass and glassware,505.00,$505 ,2016,China
Tanning- dyeing extracts- tannins- derivatives- pigments,463.00,$463 ,2016,China
Tools- implements- cutlery of base metal,419.00,$419 ,2016,China
Works of art- collectors' pieces and antiques,415.00,$415 ,2016,China
Printed books- newspapers- pictures,405.00,$405 ,2016,China
Footwear- gaiters and the like-,30.00,$30 ,2016,China
Carpets and other textile floor coverings,30.00,$30 ,2016,China
Tobacco and manufactures tobacco substitutes,171790.00,$171.79K,2015,China
Stone- plaster- cement- asbestos- mica or similar materials,62230.00,$62.23K,2015,China
Base metals not specified elsewhere- cermets.,40420.00,$40.42K,2015,China
Lac- gums- resins,15700.00,$15.7K,2015,China
Animal- vegetable fats and oils- cleavage products,1770.00,$1.77K,2015,China
Meat and edible meat offal,50010.00,$50.01K,2014,China
Silk,27920.00,$27.92K,2014,China
Products of animal origin,16070.00,$16.07K,2014,China
Albuminoids- modified starches- glues- enzymes,3380.00,$3.38K,2013,China
Furskins and artificial fur- manufactures,31.00,$31 ,2013,China
Cereal- flour- starch- milk preparations and products,30.00,$30 ,2013,China
Clocks and watches,10.00,$10 ,2013,China
Bird skin- feathers- artificial flowers- human hair,5.00,$5 ,2013,China
Residues- wastes of food industry- animal fodder,6340.00,$6.34K,2012,China
Umbrellas- walking-sticks- seat-sticks- whips,40.00,$40 ,2012,China
Fish- crustaceans- molluscs- aquatics invertebrates,2530000.00,$2.53M,2011,China
Pharmaceutical products,1000.00,"$1,000 ",2011,China
Cocoa and cocoa preparations,643.00,$643 ,2011,China
Wadding- felt- nonwovens- yarns- twine- cordage,120.00,$120 ,2011,China
Milling products- malt- starches- inlin- wheat gluten,3420.00,$3.42K,2010,China
Headgear and,1600.00,$1.60K,2010,China
Meat- fish and seafood preparations,50.00,$50 ,2010,China
Miscellaneous edible preparations,47.00,$47 ,2010,China
Cork and articles of cork,41.00,$41 ,2010,China
Animal- vegetable fats and oils- cleavage products,160290000.00,$160.29M,2017,Mexico
Rubbers,68280000.00,$68.28M,2017,Mexico
Paper and paperboard- articles of pulp- paper and board,28800000.00,$28.80M,2017,Mexico
Articles of apparel- knit or crocheted,25890000.00,$25.89M,2017,Mexico
Sugars and sugar confectionery,24970000.00,$24.97M,2017,Mexico
Beverages- spirits and vinegar,21370000.00,$21.37M,2017,Mexico
Fish- crustaceans- molluscs- aquatics invertebrates,19910000.00,$19.91M,2017,Mexico
Plastics,17110000.00,$17.11M,2017,Mexico
Miscellaneous edible preparations,14170000.00,$14.17M,2017,Mexico
Miscellaneous chemical products,13340000.00,$13.34M,2017,Mexico
Cotton,12630000.00,$12.63M,2017,Mexico
Soaps- lubricants- waxes- candles- modelling pastes,10540000.00,$10.54M,2017,Mexico
Articles of iron or steel,10160000.00,$10.16M,2017,Mexico
Cereal- flour- starch- milk preparations and products,10120000.00,$10.12M,2017,Mexico
Machinery- nuclear reactors- boilers,8470000.00,$8.47M,2017,Mexico
Iron and steel,6030000.00,$6.03M,2017,Mexico
Miscellanneous manufactured articles,6020000.00,$6.02M,2017,Mexico
Vegetable- fruit- nut food preparations,4750000.00,$4.75M,2017,Mexico
Essential oils- perfumes- cosmetics- toileteries,3340000.00,$3.34M,2017,Mexico
Manmade staple fibers,3040000.00,$3.04M,2017,Mexico
Edible vegetables and certain roots and tubers,2920000.00,$2.92M,2017,Mexico
Raw hides and skins (other than furskins) and leather,2900000.00,$2.90M,2017,Mexico
Other made textile articles- sets- worn clothing,2700000.00,$2.70M,2017,Mexico
Wood and articles of wood- wood charcoal,2650000.00,$2.65M,2017,Mexico
Manmade filaments,2600000.00,$2.60M,2017,Mexico
Electrical- electronic equipment,2340000.00,$2.34M,2017,Mexico
Footwear- gaiters and the like-,2150000.00,$2.15M,2017,Mexico
Pulp of wood- fibrous cellulosic material- waste,2120000.00,$2.12M,2017,Mexico
Coffee- tea- mate and spices,2010000.00,$2.01M,2017,Mexico
Pharmaceutical products,1820000.00,$1.82M,2017,Mexico
Wadding- felt- nonwovens- yarns- twine- cordage,1660000.00,$1.66M,2017,Mexico
Toys- games- sports requisites,1510000.00,$1.51M,2017,Mexico
Mineral fuels- oils- distillation products,1280000.00,$1.28M,2017,Mexico
Vehicles other than railway- tramway,1280000.00,$1.28M,2017,Mexico
Aluminum,1010000.00,$1.01M,2017,Mexico
Glass and glassware,989880.00,$989.88K,2017,Mexico
Edible fruits- nuts- peel of citrus fruit- melons,855520.00,$855.52K,2017,Mexico
Special woven or tufted fabric- lace- tapestry,782990.00,$782.99K,2017,Mexico
Salt- sulphur- earth- stone- plaster- lime and cement,590330.00,$590.33K,2017,Mexico
Cocoa and cocoa preparations,572230.00,$572.23K,2017,Mexico
Organic chemicals,568270.00,$568.27K,2017,Mexico
Furniture- lighting signs- prefabricated buildings,553820.00,$553.82K,2017,Mexico
Tanning- dyeing extracts- tannins- derivatives- pigments,479420.00,$479.42K,2017,Mexico
Oil seed- oleagic fruits- grain- seed- fruits,473490.00,$473.49K,2017,Mexico
Printed books- newspapers- pictures,449780.00,$449.78K,2017,Mexico
Optical- photo- technical- medical apparatus,443020.00,$443.02K,2017,Mexico
Fertilizers,343480.00,$343.48K,2017,Mexico
Milling products- malt- starches- inlin- wheat gluten,331220.00,$331.22K,2017,Mexico
Articles of leather- animal gut- harness- travel good,321100.00,$321.10K,2017,Mexico
Wool- animal hair- horsehair yarn and fabric,292660.00,$292.66K,2017,Mexico
Ceramic products,273730.00,$273.73K,2017,Mexico
Zinc,267200.00,$267.20K,2017,Mexico
Stone- plaster- cement- asbestos- mica or similar materials,263130.00,$263.13K,2017,Mexico
Meat- fish and seafood preparations,205420.00,$205.42K,2017,Mexico
Miscellaneous articles of base metal,203160.00,$203.16K,2017,Mexico
Copper,188430.00,$188.43K,2017,Mexico
Tools- implements- cutlery of base metal,176430.00,$176.43K,2017,Mexico
Railway- tramway locomotives- rolling stock- equipment,174160.00,$174.16K,2017,Mexico
Articles of apparel- not knit or crocheted,167680.00,$167.68K,2017,Mexico
Knitted or crocheted fabric,160100.00,$160.10K,2017,Mexico
Inorganic chemicals- precious metal compound- isotope,133520.00,$133.52K,2017,Mexico
Vegetable plaiting materials- vegetable products,124200.00,$124.2K,2017,Mexico
Lac- gums- resins,116590.00,$116.59K,2017,Mexico
Live trees- plants- bulbs- roots- cut flowers,100910.00,$100.91K,2017,Mexico
Albuminoids- modified starches- glues- enzymes,52140.00,$52.14K,2017,Mexico
Pearls- precious stones- metals- coins,49240.00,$49.24K,2017,Mexico
Tin,37470.00,$37.47K,2017,Mexico
Works of art- collectors' pieces and antiques,18160.00,$18.16K,2017,Mexico
Headgear and,11800.00,$11.80K,2017,Mexico
Clocks and watches,9570.00,$9.57K,2017,Mexico
Live animals,7800.00,$7.8K,2017,Mexico
Aircraft- spacecraft,7490.00,$7.49K,2017,Mexico
Carpets and other textile floor coverings,3690.00,$3.69K,2017,Mexico
Impregnated- coated or laminated textile fabric,3520.00,$3.52K,2017,Mexico
Residues- wastes of food industry- animal fodder,2720.00,$2.72K,2017,Mexico
Musical instruments- parts and accessories,1580.00,$1.58K,2017,Mexico
Ores slag and ash,270.00,$270 ,2017,Mexico
Photographic or cinematographic goods,184.00,$184 ,2017,Mexico
Umbrellas- walking-sticks- seat-sticks- whips,113.00,$113 ,2017,Mexico
Arms and ammunition- parts and accessories,100.00,$100 ,2017,Mexico
Manufacturers of plaiting material- basketwork,71.00,$71 ,2017,Mexico
Furskins and artificial fur- manufactures,17.00,$17 ,2017,Mexico
Bird skin- feathers- artificial flowers- human hair,17.00,$17 ,2017,Mexico
Dairy products- eggs- honey- edible products,3.00,$3 ,2017,Mexico
Lead,112000.00,$112K,2016,Mexico
Nickel,1230.00,$1.23K,2016,Mexico
Vegetable textile fibers not specified elsewhere- paper yarn- woven fabric,103.00,$103 ,2016,Mexico
Cereals,106720.00,$106.72K,2015,Mexico
Meat and edible meat offal,1.00,$1 ,2015,Mexico
Ships- boats- and other floating structures,3450.00,$3.45K,2014,Mexico
Explosives- pyrotechnics- matches- pyrophorics,490.00,$490 ,2013,Mexico
Base metals not specified elsewhere- cermets.,3310.00,$3.31K,2010,Mexico
Coffee- tea- mate and spices,87010000.00,$87.01M,2017,Canada
Ores slag and ash,62280000.00,$62.28M,2017,Canada
Sugars and sugar confectionery,40520000.00,$40.52M,2017,Canada
Articles of apparel- knit or crocheted,12310000.00,$12.31M,2017,Canada
Edible fruits- nuts- peel of citrus fruit- melons,4360000.00,$4.36M,2017,Canada
Rubbers,2440000.00,$2.44M,2017,Canada
Edible vegetables and certain roots and tubers,2030000.00,$2.03M,2017,Canada
Other made textile articles- sets- worn clothing,1810000.00,$1.81M,2017,Canada
Live trees- plants- bulbs- roots- cut flowers,1580000.00,$1.58M,2017,Canada
Beverages- spirits and vinegar,971860.00,$971.86K,2017,Canada
Articles of apparel- not knit or crocheted,845640.00,$845.64K,2017,Canada
Glass and glassware,765670.00,$765.67K,2017,Canada
Machinery- nuclear reactors- boilers,640760.00,$640.76K,2017,Canada
Fish- crustaceans- molluscs- aquatics invertebrates,625450.00,$625.45K,2017,Canada
Vegetable- fruit- nut food preparations,603570.00,$603.57K,2017,Canada
Articles of leather- animal gut- harness- travel good,568410.00,$568.41K,2017,Canada
Aircraft- spacecraft,550000.00,$550K,2017,Canada
Plastics,368140.00,$368.14K,2017,Canada
Oil seed- oleagic fruits- grain- seed- fruits,304220.00,$304.22K,2017,Canada
Pharmaceutical products,244820.00,$244.82K,2017,Canada
Electrical- electronic equipment,232160.00,$232.16K,2017,Canada
Wood and articles of wood- wood charcoal,212300.00,$212.30K,2017,Canada
Tools- implements- cutlery of base metal,196950.00,$196.95K,2017,Canada
Essential oils- perfumes- cosmetics- toileteries,131320.00,$131.32K,2017,Canada
Wadding- felt- nonwovens- yarns- twine- cordage,91460.00,$91.46K,2017,Canada
Articles of iron or steel,77650.00,$77.65K,2017,Canada
Fertilizers,72720.00,$72.72K,2017,Canada
Pearls- precious stones- metals- coins,50300.00,$50.3K,2017,Canada
Mineral fuels- oils- distillation products,50250.00,$50.25K,2017,Canada
Toys- games- sports requisites,48670.00,$48.67K,2017,Canada
Vehicles other than railway- tramway,43700.00,$43.70K,2017,Canada
Knitted or crocheted fabric,40760.00,$40.76K,2017,Canada
Manmade filaments,20040.00,$20.04K,2017,Canada
Miscellaneous edible preparations,10970.00,$10.97K,2017,Canada
Albuminoids- modified starches- glues- enzymes,10370.00,$10.37K,2017,Canada
Furniture- lighting signs- prefabricated buildings,9100.00,$9.10K,2017,Canada
Footwear- gaiters and the like-,5770.00,$5.77K,2017,Canada
Animal- vegetable fats and oils- cleavage products,5580.00,$5.58K,2017,Canada
Manmade staple fibers,5450.00,$5.45K,2017,Canada
Ceramic products,4560.00,$4.56K,2017,Canada
Works of art- collectors' pieces and antiques,2140.00,$2.14K,2017,Canada
Railway- tramway locomotives- rolling stock- equipment,1860.00,$1.86K,2017,Canada
Cereal- flour- starch- milk preparations and products,1730.00,$1.73K,2017,Canada
Musical instruments- parts and accessories,1620.00,$1.62K,2017,Canada
Paper and paperboard- articles of pulp- paper and board,1380.00,$1.38K,2017,Canada
Printed books- newspapers- pictures,1280.00,$1.28K,2017,Canada
Cocoa and cocoa preparations,1260.00,$1.26K,2017,Canada
Optical- photo- technical- medical apparatus,900.00,$900 ,2017,Canada
Clocks and watches,240.00,$240 ,2017,Canada
Soaps- lubricants- waxes- candles- modelling pastes,151.00,$151 ,2017,Canada
Carpets and other textile floor coverings,146.00,$146 ,2017,Canada
Headgear and,140.00,$140 ,2017,Canada
Tanning- dyeing extracts- tannins- derivatives- pigments,134.00,$134 ,2017,Canada
Miscellanneous manufactured articles,98.00,$98 ,2017,Canada
Vegetable plaiting materials- vegetable products,95.00,$95 ,2017,Canada
Miscellaneous chemical products,58.00,$58 ,2017,Canada
Aluminum,47.00,$47 ,2017,Canada
Miscellaneous articles of base metal,25.00,$25 ,2017,Canada
Arms and ammunition- parts and accessories,15.00,$15 ,2017,Canada
Meat- fish and seafood preparations,6.00,$6 ,2017,Canada
Special woven or tufted fabric- lace- tapestry,4110.00,$4.11K,2016,Canada
Lac- gums- resins,2180.00,$2.18K,2016,Canada
Cotton,494.00,$494 ,2016,Canada
Manufacturers of plaiting material- basketwork,223.00,$223 ,2016,Canada
Tobacco and manufactures tobacco substitutes,326110.00,$326.11K,2015,Canada
Salt- sulphur- earth- stone- plaster- lime and cement,100.00,$100 ,2015,Canada
Umbrellas- walking-sticks- seat-sticks- whips,8.00,$8 ,2015,Canada
Impregnated- coated or laminated textile fabric,3.00,$3 ,2015,Canada
Organic chemicals,74000.00,$74K,2014,Canada
Dairy products- eggs- honey- edible products,2520.00,$2.52K,2013,Canada
Stone- plaster- cement- asbestos- mica or similar materials,1700.00,$1.70K,2013,Canada
Pulp of wood- fibrous cellulosic material- waste,600.00,$600 ,2013,Canada
Cereals,60.00,$60 ,2013,Canada
Nickel,100.00,$100 ,2012,Canada
Photographic or cinematographic goods,30.00,$30 ,2012,Canada
Live animals,1.00,$1 ,2012,Canada
Milling products- malt- starches- inlin- wheat gluten,246.00,$246 ,2011,Canada
Iron and steel,1500.00,$1.5K,2010,Canada
Bird skin- feathers- artificial flowers- human hair,12.00,$12 ,2010,Canada
Coffee- tea- mate and spices,117650000.00,$117.65M,2017,Japon
Oil seed- oleagic fruits- grain- seed- fruits,12360000.00,$12.36M,2017,Japon
Edible fruits- nuts- peel of citrus fruit- melons,6600000.00,$6.60M,2017,Japon
Beverages- spirits and vinegar,5220000.00,$5.22M,2017,Japon
Ores slag and ash,4070000.00,$4.07M,2017,Japon
Live trees- plants- bulbs- roots- cut flowers,3100000.00,$3.10M,2017,Japon
Edible vegetables and certain roots and tubers,2180000.00,$2.18M,2017,Japon
Articles of apparel- knit or crocheted,791300.00,$791.30K,2017,Japon
Paper and paperboard- articles of pulp- paper and board,526850.00,$526.85K,2017,Japon
Pearls- precious stones- metals- coins,403570.00,$403.57K,2017,Japon
Plastics,141610.00,$141.61K,2017,Japon
Dairy products- eggs- honey- edible products,137750.00,$137.75K,2017,Japon
Articles of leather- animal gut- harness- travel good,121760.00,$121.76K,2017,Japon
Articles of apparel- not knit or crocheted,82300.00,$82.30K,2017,Japon
Articles of iron or steel,81930.00,$81.93K,2017,Japon
Vegetable- fruit- nut food preparations,71140.00,$71.14K,2017,Japon
Vehicles other than railway- tramway,59070.00,$59.07K,2017,Japon
Other made textile articles- sets- worn clothing,35480.00,$35.48K,2017,Japon
Aluminum,17620.00,$17.62K,2017,Japon
Miscellaneous chemical products,13590.00,$13.59K,2017,Japon
Cocoa and cocoa preparations,11080.00,$11.08K,2017,Japon
Essential oils- perfumes- cosmetics- toileteries,8500.00,$8.50K,2017,Japon
Toys- games- sports requisites,6020.00,$6.02K,2017,Japon
Manufacturers of plaiting material- basketwork,5080.00,$5.08K,2017,Japon
Optical- photo- technical- medical apparatus,5040.00,$5.04K,2017,Japon
Wood and articles of wood- wood charcoal,4250.00,$4.25K,2017,Japon
Headgear and,1970.00,$1.97K,2017,Japon
Electrical- electronic equipment,1800.00,$1.80K,2017,Japon
Glass and glassware,1230.00,$1.23K,2017,Japon
Cotton,1000.00,$1.00K,2017,Japon
Printed books- newspapers- pictures,595.00,$595 ,2017,Japon
Furniture- lighting signs- prefabricated buildings,595.00,$595 ,2017,Japon
Footwear- gaiters and the like-,555.00,$555 ,2017,Japon
Musical instruments- parts and accessories,200.00,$200 ,2017,Japon
Carpets and other textile floor coverings,125.00,$125 ,2017,Japon
Soaps- lubricants- waxes- candles- modelling pastes,95.00,$95 ,2017,Japon
Tools- implements- cutlery of base metal,90.00,$90 ,2017,Japon
Miscellanneous manufactured articles,64.00,$64 ,2017,Japon
Ceramic products,57.00,$57 ,2017,Japon
Silk,45.00,$45 ,2017,Japon
Works of art- collectors' pieces and antiques,40.00,$40 ,2017,Japon
Miscellaneous articles of base metal,25.00,$25 ,2017,Japon
Fish- crustaceans- molluscs- aquatics invertebrates,76310.00,$76.31K,2016,Japon
Wadding- felt- nonwovens- yarns- twine- cordage,7400.00,$7.40K,2016,Japon
Machinery- nuclear reactors- boilers,1280.00,$1.28K,2016,Japon
Organic chemicals,5.00,$5 ,2016,Japon
Rubbers,4.00,$4 ,2016,Japon
Pharmaceutical products,3.00,$3 ,2016,Japon
Sugars and sugar confectionery,10370000.00,$10.37M,2015,Japon
Miscellaneous edible preparations,1.00,$1 ,2015,Japon
Clocks and watches,1.00,$1 ,2015,Japon
Zinc,61850.00,$61.85K,2013,Japon
Knitted or crocheted fabric,196.00,$196 ,2013,Japon
Special woven or tufted fabric- lace- tapestry,80.00,$80 ,2013,Japon
Tobacco and manufactures tobacco substitutes,15.00,$15 ,2012,Japon
Ships- boats- and other floating structures,200.00,$200 ,2011,Japon
Animal- vegetable fats and oils- cleavage products,209340.00,$209.34K,2010,Japon
Copper,140760.00,$140.76K,2010,Japon
Manmade staple fibers,105.00,$105 ,2010,Japon
Sugars and sugar confectionery,25630000.00,$25.63M,2017,United Kingdom
Edible vegetables and certain roots and tubers,21090000.00,$21.09M,2017,United Kingdom
Edible fruits- nuts- peel of citrus fruit- melons,15760000.00,$15.76M,2017,United Kingdom
Coffee- tea- mate and spices,15510000.00,$15.51M,2017,United Kingdom
Beverages- spirits and vinegar,14300000.00,$14.30M,2017,United Kingdom
Oil seed- oleagic fruits- grain- seed- fruits,1170000.00,$1.17M,2017,United Kingdom
Iron and steel,1020000.00,$1.02M,2017,United Kingdom
Paper and paperboard- articles of pulp- paper and board,621680.00,$621.68K,2017,United Kingdom
Essential oils- perfumes- cosmetics- toileteries,617620.00,$617.62K,2017,United Kingdom
Vegetable- fruit- nut food preparations,479820.00,$479.82K,2017,United Kingdom
Articles of apparel- knit or crocheted,449080.00,$449.08K,2017,United Kingdom
Rubbers,258700.00,$258.70K,2017,United Kingdom
Articles of leather- animal gut- harness- travel good,173470.00,$173.47K,2017,United Kingdom
Plastics,128980.00,$128.98K,2017,United Kingdom
Tobacco and manufactures tobacco substitutes,104250.00,$104.25K,2017,United Kingdom
Knitted or crocheted fabric,83020.00,$83.02K,2017,United Kingdom
Dairy products- eggs- honey- edible products,51790.00,$51.79K,2017,United Kingdom
Live trees- plants- bulbs- roots- cut flowers,47030.00,$47.03K,2017,United Kingdom
Mineral fuels- oils- distillation products,33770.00,$33.77K,2017,United Kingdom
Animal- vegetable fats and oils- cleavage products,23500.00,$23.50K,2017,United Kingdom
Articles of apparel- not knit or crocheted,21810.00,$21.81K,2017,United Kingdom
Toys- games- sports requisites,18070.00,$18.07K,2017,United Kingdom
Carpets and other textile floor coverings,17470.00,$17.47K,2017,United Kingdom
Articles of iron or steel,16870.00,$16.87K,2017,United Kingdom
Cotton,12600.00,$12.60K,2017,United Kingdom
Machinery- nuclear reactors- boilers,7560.00,$7.56K,2017,United Kingdom
Glass and glassware,4350.00,$4.35K,2017,United Kingdom
Pearls- precious stones- metals- coins,2550.00,$2.55K,2017,United Kingdom
Wood and articles of wood- wood charcoal,2500.00,$2.50K,2017,United Kingdom
Ceramic products,2360.00,$2.36K,2017,United Kingdom
Optical- photo- technical- medical apparatus,2320.00,$2.32K,2017,United Kingdom
Soaps- lubricants- waxes- candles- modelling pastes,1120.00,$1.12K,2017,United Kingdom
Headgear and,1060.00,$1.06K,2017,United Kingdom
Other made textile articles- sets- worn clothing,877.00,$877 ,2017,United Kingdom
Furniture- lighting signs- prefabricated buildings,742.00,$742 ,2017,United Kingdom
Printed books- newspapers- pictures,730.00,$730 ,2017,United Kingdom
Aircraft- spacecraft,700.00,$700 ,2017,United Kingdom
Vehicles other than railway- tramway,515.00,$515 ,2017,United Kingdom
Electrical- electronic equipment,366.00,$366 ,2017,United Kingdom
Footwear- gaiters and the like-,220.00,$220 ,2017,United Kingdom
Works of art- collectors' pieces and antiques,105.00,$105 ,2017,United Kingdom
Tools- implements- cutlery of base metal,24.00,$24 ,2017,United Kingdom
Miscellanneous manufactured articles,20.00,$20 ,2017,United Kingdom
Musical instruments- parts and accessories,10.00,$10 ,2017,United Kingdom
Aluminum,3.00,$3 ,2017,United Kingdom
Miscellaneous articles of base metal,2.00,$2 ,2017,United Kingdom
Albuminoids- modified starches- glues- enzymes,330.00,$330 ,2016,United Kingdom
Manmade staple fibers,234.00,$234 ,2016,United Kingdom
Tanning- dyeing extracts- tannins- derivatives- pigments,5.00,$5 ,2016,United Kingdom
Umbrellas- walking-sticks- seat-sticks- whips,5.00,$5 ,2016,United Kingdom
Clocks and watches,5.00,$5 ,2016,United Kingdom
Wadding- felt- nonwovens- yarns- twine- cordage,3.00,$3 ,2016,United Kingdom
Arms and ammunition- parts and accessories,1.00,$1 ,2016,United Kingdom
Pharmaceutical products,106480.00,$106.48K,2015,United Kingdom
Copper,15310.00,$15.31K,2015,United Kingdom
Miscellaneous edible preparations,11.00,$11 ,2015,United Kingdom
Ores slag and ash,3090000.00,$3.09M,2014,United Kingdom
Base metals not specified elsewhere- cermets.,104240.00,$104.24K,2014,United Kingdom
Inorganic chemicals- precious metal compound- isotope,3660.00,$3.66K,2014,United Kingdom
Miscellaneous chemical products,800.00,$800 ,2014,United Kingdom
Fish- crustaceans- molluscs- aquatics invertebrates,922000.00,$922K,2012,United Kingdom
Organic chemicals,1.00,$1 ,2012,United Kingdom
Special woven or tufted fabric- lace- tapestry,75.00,$75 ,2011,United Kingdom
Salt- sulphur- earth- stone- plaster- lime and cement,30.00,$30 ,2010,United Kingdom
Stone- plaster- cement- asbestos- mica or similar materials,8.00,$8 ,2010,United Kingdom
Manufacturers of plaiting material- basketwork,6.00,$6 ,2010,United Kingdom
Residues- wastes of food industry- animal fodder,4.00,$4 ,2010,United Kingdom
Plastics,48640000.00,$48.64M,2017,Costa Rica
Miscellaneous chemical products,40960000.00,$40.96M,2017,Costa Rica
Soaps- lubricants- waxes- candles- modelling pastes,35990000.00,$35.99M,2017,Costa Rica
Paper and paperboard- articles of pulp- paper and board,29370000.00,$29.37M,2017,Costa Rica
Pharmaceutical products,28660000.00,$28.66M,2017,Costa Rica
Articles of iron or steel,26610000.00,$26.61M,2017,Costa Rica
Cereal- flour- starch- milk preparations and products,21500000.00,$21.50M,2017,Costa Rica
Miscellaneous edible preparations,18650000.00,$18.65M,2017,Costa Rica
Rubbers,17350000.00,$17.35M,2017,Costa Rica
Vegetable- fruit- nut food preparations,12630000.00,$12.63M,2017,Costa Rica
Machinery- nuclear reactors- boilers,12620000.00,$12.62M,2017,Costa Rica
Iron and steel,10410000.00,$10.41M,2017,Costa Rica
Beverages- spirits and vinegar,7920000.00,$7.92M,2017,Costa Rica
Meat- fish and seafood preparations,7870000.00,$7.87M,2017,Costa Rica
Aluminum,7090000.00,$7.09M,2017,Costa Rica
Furniture- lighting signs- prefabricated buildings,6680000.00,$6.68M,2017,Costa Rica
Essential oils- perfumes- cosmetics- toileteries,6170000.00,$6.17M,2017,Costa Rica
Sugars and sugar confectionery,5840000.00,$5.84M,2017,Costa Rica
Other made textile articles- sets- worn clothing,4910000.00,$4.91M,2017,Costa Rica
Footwear- gaiters and the like-,4620000.00,$4.62M,2017,Costa Rica
Glass and glassware,4510000.00,$4.51M,2017,Costa Rica
Electrical- electronic equipment,4270000.00,$4.27M,2017,Costa Rica
Ceramic products,4230000.00,$4.23M,2017,Costa Rica
Salt- sulphur- earth- stone- plaster- lime and cement,4090000.00,$4.09M,2017,Costa Rica
Tanning- dyeing extracts- tannins- derivatives- pigments,3880000.00,$3.88M,2017,Costa Rica
Animal- vegetable fats and oils- cleavage products,3600000.00,$3.60M,2017,Costa Rica
Miscellanneous manufactured articles,3150000.00,$3.15M,2017,Costa Rica
Fertilizers,3100000.00,$3.10M,2017,Costa Rica
Manmade filaments,2990000.00,$2.99M,2017,Costa Rica
Articles of apparel- knit or crocheted,2850000.00,$2.85M,2017,Costa Rica
Organic chemicals,2750000.00,$2.75M,2017,Costa Rica
Wood and articles of wood- wood charcoal,2670000.00,$2.67M,2017,Costa Rica
Printed books- newspapers- pictures,2430000.00,$2.43M,2017,Costa Rica
Vehicles other than railway- tramway,2110000.00,$2.11M,2017,Costa Rica
Articles of apparel- not knit or crocheted,1880000.00,$1.88M,2017,Costa Rica
Milling products- malt- starches- inlin- wheat gluten,1710000.00,$1.71M,2017,Costa Rica
Inorganic chemicals- precious metal compound- isotope,1550000.00,$1.55M,2017,Costa Rica
Wadding- felt- nonwovens- yarns- twine- cordage,1330000.00,$1.33M,2017,Costa Rica
Cocoa and cocoa preparations,1280000.00,$1.28M,2017,Costa Rica
Residues- wastes of food industry- animal fodder,1190000.00,$1.19M,2017,Costa Rica
Coffee- tea- mate and spices,1160000.00,$1.16M,2017,Costa Rica
